City,Same_as_wikidata_city,Owner,Same_as_wikidata_Owner,Charging Station Id,Address,Geolocation Id,Longitude,Latitude,Number of connectors,Connector type,Connector Id,Price,Cables Annotation,Bookable,Schedule,Time limit
Alcobendas,https://www.wikidata.org/wiki/Q487679,"ITISFUN, S.L.U",,CS_2faebc168bb1b74c49895284002abc63,"Calle Marqués de la Valdavia, 140",GL_a033af1b680424620b3abd2d070b3a62,-3.656808,40.547812,,,CN_d717cd01bf8e8ab2943305c949d32d74,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,EMOVILI,,CS_0895c3556ce872c2e6b422eb3bc3f1ef,"Plaza de la Moraleja, 9",GL_4a7e54afe27f88a8ab6ef194c4fc0fc9,-3.651422,40.515532,2,TYPE 2 7.40kW,CN_e618960091361a90ccaed9a8b867f444,gratis,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"NUEVA URBANIZADORA RESIDENCIAL, S.A.",,CS_bd3172fc01a3ba9063e754b868e73c82,"Calle Caléndula, 13",GL_c860a576cca64ada4a3afc78728c69f8,-3.647206,40.525138,,,CN_e514d3977144a569b2e36e5dc50218ff,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"CAMINOS DE PASOL, SLU",,CS_a1918966b48521a0e71ae62736b352f3,"Camino del Cura, 10",GL_8ef731654666bd480b36dcc16a770501,-3.645178,40.5081,,,CN_2c8f6bf0fa7113b6cab300bffe559ac4,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,EMOVILI,,CS_f55addb024f8ddf4cdbaba59d295f45a,"Avenida de España, 28",GL_2f71b40e1e07202f84038c436bafb646,-3.641618,40.546535,2,TYPE 2 7.40kW,CN_70cc6e7019e47c4cfcec499371b7fd7a,gratis,No,No se puede reservar,24 horas todos los días,2
Alcobendas,https://www.wikidata.org/wiki/Q487679,COMUNIDAD PROPIETARIOS ANABEL SEGURA,,CS_04ac3979b7ee97482020d69ca82c9589,"Calle anabel Segura, 11",GL_9ce7d81d3c0ec6e1317ab93c7a16324a,-3.626132,40.532384,,,CN_2c179183d504a58d3ff54cb7d0e5fd14,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"ENERGIA XXI COMERCIALIZADORA DE REFERENCIA, S.L.",https://www.wikidata.org/wiki/Q113464339,CS_df2c66f4a36c13c90ef3aa1c07f8960a,"Avanida Rafael Nadal, 3",GL_e25919751f7c7dd51fc5e98a8f16417c,-3.623017,40.537914,,,CN_1f46f4a6ce53242c800223b6f9e960e6,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Red Eléctrica de España,https://www.wikidata.org/wiki/Q113464348,CS_740847f8f1b60b85e49cd97bb1aa02fe,"Paseo Conde de los Gaitanes, 177",GL_357e698f764d409af21aeab0dac00012,-3.613768,40.524688,,,CN_e8a0c15125ee28f98ba4e6bf3891ce1a,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,CS_c3fe455d64470b2450c4b31189ed1c50,"Calle Valportillo Segunda, 8",GL_474ced22ce8a07445291cf9c8d1df434,-3.65569,40.53069,1,,CN_db521a08f5a9fb89dd496dcf8397a308,,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,CS_8a7b15af8088881949d338b33c6d6bbd,"Av. de Europa, 10",GL_6af3ef5ee94b864fa077ab1b6d6b2c7a,-3.657155,40.519326,2,TYPE 2 22.00kW,CN_52175f6ddd4e5713d7230b9382249f16,,No,No se puede reservar,De 7 a 19,
