City,Owner,Charging Station Id,Address,Longitude,Latitude,Geolocation Id,Number of connectors,Connector type,Connector Id,Price,Cables_Annotation,Bookable,Schedule,Time_limit
ALCOBENDAS,"ITISFUN, S.L.U",CS_a112b47aa781db7052e21ba75c0f3cee,"Calle Marqués de la Valdavia, 140",-3.656808,40.547812,GL_a033af1b680424620b3abd2d070b3a62,,,CN_8252e7ee3450eb71077eb0a6ed3c6aba,,,,,
ALCOBENDAS,EMOVILI,CS_c51ba8ceed724fb006b47b1ad561104d,"Plaza de la Moraleja, 9",-3.651422,40.515532,GL_4a7e54afe27f88a8ab6ef194c4fc0fc9,2,TYPE 2 7.40kW,CN_324f400218a1ca1a848c8211f61cd150,Gratuito,No,No se puede reservar,24 horas todos los días,
ALCOBENDAS,"NUEVA URBANIZADORA RESIDENCIAL, S.A.",CS_291709b8a506c6d21a47f5dd415c5087,"Calle Caléndula, 13",-3.647206,40.525138,GL_c860a576cca64ada4a3afc78728c69f8,,,CN_ecce93a629afaa5a562a820c1a407f3f,,,,,
ALCOBENDAS,"CAMINOS DE PASOL, SLU",CS_42af7e789951ae672950aa57da7089b5,"Camino del Cura, 10",-3.645178,40.5081,GL_8ef731654666bd480b36dcc16a770501,,,CN_04651d9d6862cd1658883c93104b71ab,,,,,
ALCOBENDAS,EMOVILI,CS_65538ad9bc5c7f8f9e0f9dfa6442c817,"Avenida de España, 28",-3.641618,40.546535,GL_2f71b40e1e07202f84038c436bafb646,2,TYPE 2 7.40kW,CN_7915a3ab393549fc63b710da56b362ab,Gratuito,No,No se puede reservar,24 horas todos los días,2
ALCOBENDAS,COMUNIDAD PROPIETARIOS ANABEL SEGURA,CS_c0700936ae7eb3be3cf96333179b023f,"Calle anabel Segura, 11",-3.626132,40.532384,GL_9ce7d81d3c0ec6e1317ab93c7a16324a,,,CN_7e1de06ae5d4db3f3af798e122887198,,,,,
ALCOBENDAS,"ENDESA ENERGIA, S.A.",CS_d081f3afe137496c2485bd32e8a51037,"Avanida Rafael Nadal, 3",-3.623017,40.537914,GL_e25919751f7c7dd51fc5e98a8f16417c,,,CN_3393af144b9f4d4fe14259fbb78d4b14,,,,,
ALCOBENDAS,"RED ELECTRICA DE ESPAÑA, S.A.U.",CS_e793630cc31fefb530f431858cbee19e,"Paseo Conde de los Gaitanes, 177",-3.613768,40.524688,GL_357e698f764d409af21aeab0dac00012,,,CN_d3d9af5340d4caa1b58f779b24cc42bb,,,,,
ALCOBENDAS,Acciona I+D,CS_2b6f7bd0f08f44d38c82a73c41c1931f,"Calle Valportillo Segunda, 8",-3.65569,40.53069,GL_474ced22ce8a07445291cf9c8d1df434,1,,CN_d815d675747b536c69a384cca44dc08f,,No,,24 horas todos los días,
ALCOBENDAS,Acciona Transmaditerranea,CS_1874b5f5a66f06509d9b6901ed7367d3,"Av. de Europa, 10",-3.657155,40.519326,GL_6af3ef5ee94b864fa077ab1b6d6b2c7a,2,TYPE 2 22.00kW,CN_367c458ee673887b4838b8a5d6013333,,No,No se puede reservar,De 7 a 19,
