ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR
1,2,ARGANZUELA,21,IMPERIAL,CALLE CHULAPOS,S/N,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
1,,,,,,,,,Dual_Mennekes,,
2,2,ARGANZUELA,26,PALOS DE MOGUER,RONDA DE VALENCIA,1,VÍA PÚBLICA,1,CHAdeMO,3,GIC
2,,,,,,,,,Dual_Mennekes,,
3,3,RETIRO,32,ADELFAS,CALLE CERRO DE LA PLATA,4,VÍA PÚBLICA,1,CHAdeMO,3,GIC
3,,,,,,,,,Dual_Mennekes,,
4,3,RETIRO,35,JERÓNIMOS,CALLE ALFONSO XII,2,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
4,,,,,,,,,Dual_Mennekes,,
5,4,SALAMANCA,41,RECOLETOS,CALLE GOYA,36,VÍA PÚBLICA,1,CHAdeMO,3,GIC
5,,,,,,,,,Dual_Mennekes,,
6,4,SALAMANCA,42,GOYA,CALLE GOYA,123,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
6,,,,,,,,,Dual_Mennekes,,
7,4,SALAMANCA,46,CASTELLANA,CALLE CASTELLÓ,105,VÍA PÚBLICA,1,CHAdeMO,3,GIC
7,,,,,,,,,Dual_Mennekes,,
8,4,SALAMANCA,44,GUINDALERA,PLAZA DE SAN CAYETANO,S/N,APARCAMIENTO,1,CHAdeMO,3,ENDESA
8,,,,,,,,,Dual_Mennekes,,
9,10,LATINA,106,CUATRO VIENTOS,CALLE SINFONIA,9,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,DRIVE THE CITY
9,,,,,,,,,Dual_Mennekes,,
10,5,CHAMARTÍN,54,HISPANOAMÉRICA,AVENIDA ALFONSO XIII,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
10,,,,,,,,,Dual_Mennekes,,
