ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR,WIKIDATA_OPERATOR
1,2,Arganzuela,https://wikidata.org/wiki/Q2000929,21,Imperial,https://wikidata.org/wiki/Q3773740,CALLE CHULAPOS,S/N,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
1,,,,,,,,,,,Dual_Mennekes,,,
2,2,Arganzuela,https://wikidata.org/wiki/Q2000929,26,Palos de la Frontera,https://wikidata.org/wiki/Q521009,RONDA DE VALENCIA,1,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
2,,,,,,,,,,,Dual_Mennekes,,,
3,3,Retiro,https://wikidata.org/wiki/Q2002296,32,Adelfas,https://wikidata.org/wiki/Q3774001,CALLE CERRO DE LA PLATA,4,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
3,,,,,,,,,,,Dual_Mennekes,,,
4,3,Retiro,https://wikidata.org/wiki/Q2002296,35,Jerónimos,https://wikidata.org/wiki/Q10306766,CALLE ALFONSO XII,2,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
4,,,,,,,,,,,Dual_Mennekes,,,
5,4,Salamanca,https://wikidata.org/wiki/Q1773521,41,Recoletos,https://wikidata.org/wiki/Q3814551,CALLE GOYA,36,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
5,,,,,,,,,,,Dual_Mennekes,,,
6,4,Salamanca,https://wikidata.org/wiki/Q1773521,42,Goya,https://wikidata.org/wiki/Q3814578,CALLE GOYA,123,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
6,,,,,,,,,,,Dual_Mennekes,,,
7,4,Salamanca,https://wikidata.org/wiki/Q1773521,46,Castellana,https://wikidata.org/wiki/Q4781,CALLE CASTELLÓ,105,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
7,,,,,,,,,,,Dual_Mennekes,,,
8,4,Salamanca,https://wikidata.org/wiki/Q1773521,44,La Guindalera,https://wikidata.org/wiki/Q3814559,PLAZA DE SAN CAYETANO,S/N,APARCAMIENTO,1,CHAdeMO,3,Endesa,https://wikidata.org/wiki/Q1275336
8,,,,,,,,,,,Dual_Mennekes,,,
9,10,Latina,https://wikidata.org/wiki/Q794954,106,Cuatro Vientos,https://wikidata.org/wiki/Q5191881,CALLE SINFONIA,9,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
9,,,,,,,,,,,Dual_Mennekes,,,
10,5,Chamartín,https://wikidata.org/wiki/Q1766348,54,Hispanoamérica,https://wikidata.org/wiki/Q3814573,AVENIDA ALFONSO XIII,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
10,,,,,,,,,,,Dual_Mennekes,,,
11,4,Salamanca,https://wikidata.org/wiki/Q1773521,46,Castellana,https://wikidata.org/wiki/Q4781,CALLE VELÁZQUEZ,74,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
11,,,,,,,,,,,Dual_Mennekes,,,
12,4,Salamanca,https://wikidata.org/wiki/Q1773521,46,Castellana,https://wikidata.org/wiki/Q4781,PASEO CASTELLANA,52,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
12,,,,,,,,,,,Dual_Mennekes,,,
13,5,Chamartín,https://wikidata.org/wiki/Q1766348,51,El Viso,https://wikidata.org/wiki/Q4778,PASEO CASTELLANA,106,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
13,,,,,,,,,,,Dual_Mennekes,,,
14,5,Chamartín,https://wikidata.org/wiki/Q1766348,54,Hispanoamérica,https://wikidata.org/wiki/Q3814573,PASEO CASTELLANA,160,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
14,,,,,,,,,,,Dual_Mennekes,,,
15,5,Chamartín,https://wikidata.org/wiki/Q1766348,56,Castilla,https://wikidata.org/wiki/Q3813735,CALLE CARDENAL MARCELO SPÍNOLA,6,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
15,,,,,,,,,,,Dual_Mennekes,,,
16,7,Chamberí,https://wikidata.org/wiki/Q1763370,72,Arapiles,https://wikidata.org/wiki/Q10856744,CALLE FERNÁNDEZ DE LOS RÍOS,42,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
16,,,,,,,,,,,Dual_Mennekes,,,
17,7,Chamberí,https://wikidata.org/wiki/Q1763370,72,Arapiles,https://wikidata.org/wiki/Q10856744,PLAZA DEL CONDE DE VALLE DE SUCHIL,S/N,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
17,,,,,,,,,,,Dual_Mennekes,,,
18,7,Chamberí,https://wikidata.org/wiki/Q1763370,73,Trafalgar,https://wikidata.org/wiki/Q10384027,CALLE MANUEL SILVELA,16,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
18,,,,,,,,,,,Dual_Mennekes,,,
19,5,Chamartín,https://wikidata.org/wiki/Q1766348,55,Nueva España,https://wikidata.org/wiki/Q10338128,AVENIDA ALBERTO ALCOCER,11,APARCAMIENTO,1,CHAdeMO,3,Endesa,https://wikidata.org/wiki/Q1275336
19,,,,,,,,,,,Dual_Mennekes,,,
20,7,Chamberí,https://wikidata.org/wiki/Q1763370,73,Trafalgar,https://wikidata.org/wiki/Q10384027,CALLE SANTA ENGRACIA,115,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
20,,,,,,,,,,,Dual_Mennekes,,,
21,7,Chamberí,https://wikidata.org/wiki/Q1763370,74,Almagro,https://wikidata.org/wiki/Q10954432,PASEO CASTELLANA,33,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
21,,,,,,,,,,,Dual_Mennekes,,,
22,8,Fuencarral-El Pardo,https://wikidata.org/wiki/Q656196,85,La Paz,https://wikidata.org/wiki/Q5869740,CALLE DE SINESIO DELGADO,2,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
22,,,,,,,,,,,Dual_Mennekes,,,
23,15,Ciudad Lineal,https://wikidata.org/wiki/Q1763694,156,San Juan Bautista,https://wikidata.org/wiki/Q165609,CALLE BUESO PINEDA,29,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
23,,,,,,,,,,,Dual_Mennekes,,,
24,1,Centro,https://wikidata.org/wiki/Q1763376,11,Palacio,https://wikidata.org/wiki/Q2136510,PLAZA DE LA CEBADA,S/N,APARCAMIENTO,1,CHAdeMO,2,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
25,5,Chamartín,https://wikidata.org/wiki/Q1766348,55,Nueva España,https://wikidata.org/wiki/Q10338128,CALLE MATEO INURRIA,4,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
25,,,,,,,,,,,Dual_Mennekes,,,
26,6,Tetuán,https://wikidata.org/wiki/Q1773540,66,Berruguete,https://wikidata.org/wiki/Q11909208,CALLE OFELIA NIETO,64,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
26,,,,,,,,,,,Dual_Mennekes,,,
27,8,Fuencarral-El Pardo,https://wikidata.org/wiki/Q656196,86,Valverde,https://wikidata.org/wiki/Q31132,CALLE DEL ABETAL,8,ESTACIÓN DE SERVICIO,2,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
27,,,,,,,,,,,Dual_Mennekes,,,
28,9,Moncloa-Aravaca,https://wikidata.org/wiki/Q2017682,93,Ciudad Universitaria,https://wikidata.org/wiki/Q3319235,"CRED HIPODROMOCR A-6  P.K. 8,00 D (AVDA PADRE HUIDOBRO SN)",S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
28,,,,,,,,,,,Dual_Mennekes,,,
