tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Rios Rosas 23 BAJA ,CALLE,Rios Rosas,23,BAJA,,28003,INSTITUTO GEOLOGICO Y MINERO DE ESPANA JUNTO AL SERVICIO MEDICO,440663,4477077,24 HORAS,2017-38
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,CALLE de Isabel II 26  ,CALLE,Isabel II,26,,,28660,JUZGADO DE PAZ EN EL HALL DE ENTRADA,425269,4473564,DE 8:00 A 16:00 DE LUNES A VIERNES,2017-55
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,CALLE de Juan Carlos I 42  ,CALLE,Juan Carlos I,42,,,28660,SEDE ADMINISTRATIVA DEL AYUNTAMIENTO EN EL HALL DE ENTRADA,425413,4473275,24 HORAS  365 DIAS,2017-56
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,CALLE del Convento 10  ,CALLE,Convento,10,,,28660,BIBLIOTECA MUNICIPAL LA MILLONARIA EN EL HALL DE ENTRADA,425577,4473257,DE LUNES A VIERNES DE 9:00 A 22:00,2017-57
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,AVDA SEDE INSTITUCIONAL DEL AYUNTAMIENTO. HALL DE ENTRADA S/N  ,AVDA,SEDE INSTITUCIONAL DEL AYUNTAMIENTO. HALL DE ENTRADA,S/N,,,28660,AVENIDA DE ADOLFO SUAREZ S/N,425598,4473109,DE LUNES A VIERNES DE 2:00 A 20:00,2017-58
Otros,Publica,096,Navalcarnero,PLAZA de Francisco Sandoval Caballero 1  ,PLAZA,Francisco Sandoval Caballero,1,,,28600,AYUNTAMIENTO DE NAVALCARNERO EN EL HALL DE ENTRADA,413706,4460531,9:00 A 14:00 HORAS,2017-119
Otros,Publica,096,Navalcarnero,PLAZA del Teatro s/n  ,PLAZA,Teatro,s/n,,,28600,POLICIA LOCAL ,413855,4460388,,2017-121
Otros,Publica,096,Navalcarnero,CALLE del Rio Ebro s/n  ,CALLE,Rio Ebro,s/n,,,28600,PABELLON CUBIERTO LA ESTACION HALL DE RECEPCION,414399,4460907,SEGUN ACTIVIDADES,2017-129
Otros,Publica,096,Navalcarnero,CALLE Juan Antonio Zenon S/N  ,CALLE,Juan Antonio Zenon,S/N,,,28600,POLIDEPORTIVO MUNICIPAL EL PIJORRO ,413304,4460258,9:00 A 23:00,2017-130
Centro educativo,Publica,049,Coslada,CALLE de la Virgen del Mar S/N baja ,CALLE,Virgen del Mar,S/N,baja,,28821,ENTRADA POR AVENIDA DEL PLANTIO. EN ANTESALA DE ASEOS PROFESORES I.E.S. LUIS GARCIA BERLANGA (Coslada),452271,4475706,LUNES A JUEVES 8:30 A 18:00. VIERNES 8:30 A 14:30,2017-135
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Nicolas Cabrera 1  ,CALLE,Nicolas Cabrera,1,,,28049,CENTRO DE BIOLOGIA MOLECULAR SEVERO OCHOA CAMPUS UAM CANTOBLANCO . CAMPUS UAM ENTRADA PRINCIPAL CBM,441455,4488971,8:00 A 18:00 HORAS,2017-160
Centro educativo,Publica,079,Madrid,CALLE de Maqueda 8  ,CALLE,Maqueda,8,,,28024,ESCUELA POLITECNICA GINER CENTRO ESPANOL DE TECNOLOGIA APLICACA,435023,4471800,,2017-173
Centro educativo,Publica,079,Madrid,AVDA de Puerta de Hierro 1  ,AVDA,Puerta de Hierro,1,,,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,,2017-175
Centro educativo,Publica,079,Madrid,AVDA de Puerta de Hierro 1  ,AVDA,Puerta de Hierro,1,,,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,,2017-176
Centro educativo,Publica,079,Madrid,AVDA de Puerta de Hierro 1  ,AVDA,Puerta de Hierro,1,,,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,,2017-177
Centro educativo,Publica,079,Madrid,AVDA de Puerta de Hierro 1  ,AVDA,Puerta de Hierro,1,,,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,,2017-178
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,113,Pinto,CALLE Sur S/N  ,CALLE,Sur,S/N,,,28320,ESTADIO RAMON MENDOZA HALL PRINCIPAL JUNTO A PUERTA LATERAL DE CONSERJERIA,440475,4454152,DE 9:00 A 23:00,2017-3
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,113,Pinto,CALLE Sevilla S/N  ,CALLE,Sevilla,S/N,,,28320,POLIDEPORTIVO PATRICIA CHAMORRO JUNTO A CONSERJERIA,441232,4454909,08:00 A 22:00,2017-6
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,PLAZA de Carlos Trias Bertran 7 7 ,PLAZA,Carlos Trias Bertran,7,7,,28020,SERVICIO MADRILENO DE SALUD (SERMAS) ,441164,4478014,,2017-51
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,CALLE del Poeta Joan Maragall 53 BAJA ,CALLE,Poeta Joan Maragall,53,BAJA,,28020,SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO SA PLANTA BAJA. HALL DE ENTRADA. CENTRO DE SEGURIDAD,441358,4479432,24 HORAS,2017-110
Otros,Publica,079,Madrid,CALLE de Manuel Tovar 13 BAJA ,CALLE,Manuel Tovar,13,BAJA,,28034,SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO SA PLANTA BAJA. HALL DE ENTRADA. GARITA DE SEGURIDAD.,441860,4482050,24 HORAS,2017-111
Otros,Publica,079,Madrid,CALLE de Xaudaro 15 BAJA ,CALLE,Xaudaro,15,BAJA,,28034,SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO PLANTA BAJA. HALL DE ENTRADA. GARITA DE SEGURIDAD,441404,4482303,24 HORAS,2017-113
Centro educativo,Publica,079,Madrid,AVDA de los Poblados 183  ,AVDA,los Poblados,183,,,28041,CPPEE JOAN MIRO ,440840,4469177,,2017-114
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,096,Navalcarnero,CALLE del Rio Nalon   ,CALLE,Rio Nalon,,,,28600,ESTADIO DE FUTBOL MARIANO GONZALEZ EN PASILLO DE SALIDA AL TERRENO DE JUEGO,413439,4459835,SEGUN ACTIVIDADES,2017-127
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Nicolas Cabrera 13  ,CALLE,Nicolas Cabrera,13,,,28049,ENTRADA DEL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),441800,4488974,8:00 A 18:00 HORAS,2017-193
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,CALLE de la Castellana 75  ,CALLE,Castellana,75,,,28032,OFICINA ESPANOLA DE PATENTES Y MARCAS PLANTA BAJA. EN GARITA DE SERVICIO DE VIGILANCIA,441213,4477669,15 HORAS,2017-194
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,CALLE de la Castellana 75 8 ,CALLE,Castellana,75,8,,28032,OFICINA ESPANOLA DE PATENTES Y MARCAS PLANTA 8. SERVICIO MEDICO,441213,4477669,15 HORAS,2017-195
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,113,Pinto,CALLE de la Buena Vista S/N  ,CALLE,Buena Vista,S/N,,,28320,POLIDEPORTIVO ALBERTO CONTADOR EN EL PASILLO PRINCIPAL DEL EDIFICIIO DE AULAS,440494,4455151,08:00 A 22:00,2017-5
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,113,Pinto,CALLE Juana Frances 63  ,CALLE,Juana Frances,63,,,28320,BIBLIOTECA MUNICIPAL JAVIER LA PENA HALL PRINCIPAL DE ENTRADA. JUNTO A CONSERJERIA,440315,4456403,08:00 A 22:00,2017-28
