"ID_District","Nombre_Distrito","wikidata_district","sameAs_wikidata_district","Nombre_Barrio","wikidata_neighborhood","sameAs_wikidata_neighborhood","Nombre_ZonaVerde","wikidata park","sameAs_wikidata_park","Ciudad","ID_ZonaVerde","m2","ha"
"1","CENTRO","","","PALACIO","","","PARQUE_DE_ATENAS","Athens Park","","Madrid","1","46.569,03","4,66"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","CORTES","Cortes","http://wikidata.org/entity/Q2535637","Pº_PRADO_I","PASEO PRADO I","","Madrid","2","35.327,59","3,53"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","PALACIO","Palacio","http://wikidata.org/entity/Q2136510","PARQUE_DE_LA_CORNISA","PARQUE DE LA CORNISA","","Madrid","3","22.633,04","2,26"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","EMBAJADORES","Embajadores","http://wikidata.org/entity/Q2449844","PARQUE_CASINO_DE_LA_REINA","PARQUE CASINO DE LA REINA","","Madrid","4","19.858,92","1,99"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","JUSTICIA","Justicia","http://wikidata.org/entity/Q1992319","Pº_DE_RECOLETOS_I","PASEO DE RECOLETOS I","","Madrid","5","19.440,71","1,94"
"1","CENTRO","","","PALACIO","","","JARDINES_DE_LAS_VISTILLAS","Gardens of Las Vistillas","","Madrid","6","12.108,31","1,21"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","PALACIO","Palacio","http://wikidata.org/entity/Q2136510","CUESTA_DE_LOS_CIEGOS","CUESTA DE LOS CIEGOS","","Madrid","7","11.879,10","1,19"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","JUSTICIA","Justicia","http://wikidata.org/entity/Q1992319","JARDINES_DE_LA_PZA._DE_LA_VILLA_DE_PARIS","JARDINES DE LA PLAZA DE LA VILLA DE PARIS","","Madrid","8","10.718,25","1,07"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","PALACIO","Palacio","http://wikidata.org/entity/Q2136510","TALUD_C/_SEGOVIA","TALUD C/ SEGOVIA","","Madrid","9","9.985,49","1,00"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","EMBAJADORES","Embajadores","http://wikidata.org/entity/Q2449844","MERCADO_PTA._DE_TOLEDO","MERCADO PUERTA. DE TOLEDO","","Madrid","10","5.751,54","0,58"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","PALACIO","Palacio","http://wikidata.org/entity/Q2136510","JARDIN_DE_LARRA","JARDIN DE LARRA","","Madrid","11","5.599,29","0,56"
"1","CENTRO","Centro","http://wikidata.org/entity/Q1763376","PALACIO","Palacio","http://wikidata.org/entity/Q2136510","JARDINES_DE_LA_PZA._DE_GABRIEL_MIRà","JARDINES DE LA PLAZA DE GABRIEL MIRà","","Madrid","12","5.462,68","0,55"
